27, 8, output/f_registration.txt
208.11, 213.66, 209.44
210.65, 210.17, 334.37
213.19, 206.67, 459.30
209.30, 338.61, 212.92
211.84, 335.11, 337.84
214.38, 331.62, 462.77
210.49, 463.55, 216.39
213.03, 460.06, 341.31
215.57, 456.56, 466.24
333.08, 212.54, 206.87
335.62, 209.05, 331.80
338.16, 205.55, 456.72
334.27, 337.49, 210.34
336.81, 333.99, 335.27
339.35, 330.50, 460.19
335.46, 462.43, 213.81
338.00, 458.94, 338.74
340.54, 455.44, 463.66
458.04, 211.42, 204.30
460.59, 207.93, 329.22
463.13, 204.43, 454.15
459.24, 336.37, 207.77
461.78, 332.87, 332.69
464.32, 329.38, 457.62
460.43, 461.31, 211.24
462.97, 457.82, 336.16
465.51, 454.32, 461.09
215.07, 213.64, 450.59
217.50, 209.23, 575.49
219.94, 204.82, 700.39
214.80, 338.56, 455.01
217.24, 334.15, 579.91
219.67, 329.74, 704.81
214.54, 463.48, 459.42
216.97, 459.07, 584.32
219.41, 454.66, 709.22
340.04, 213.99, 448.17
342.48, 209.58, 573.07
344.91, 205.17, 697.97
339.78, 338.91, 452.59
342.21, 334.50, 577.48
344.65, 330.09, 702.38
339.51, 463.83, 457.00
341.95, 459.42, 581.90
344.38, 455.01, 706.80
465.02, 214.34, 445.75
467.45, 209.93, 570.65
469.89, 205.52, 695.54
464.76, 339.26, 450.16
467.19, 334.85, 575.06
469.62, 330.44, 699.96
464.49, 464.18, 454.58
466.92, 459.77, 579.48
469.36, 455.36, 704.38
203.85, 437.83, 204.45
204.17, 441.40, 329.40
204.49, 444.98, 454.35
200.60, 562.73, 200.88
200.92, 566.31, 325.83
201.24, 569.89, 450.78
197.36, 687.64, 197.31
197.68, 691.22, 322.26
198.00, 694.79, 447.21
328.80, 441.06, 204.04
329.12, 444.64, 328.98
329.44, 448.21, 453.93
325.56, 565.97, 200.47
325.88, 569.54, 325.42
326.20, 573.12, 450.37
322.32, 690.87, 196.90
322.64, 694.45, 321.85
322.96, 698.03, 446.80
453.76, 444.29, 203.62
454.08, 447.87, 328.57
454.40, 451.45, 453.52
450.52, 569.20, 200.06
450.84, 572.78, 325.00
451.16, 576.35, 449.95
447.27, 694.11, 196.49
447.59, 697.68, 321.44
447.91, 701.26, 446.39
208.15, 449.01, 449.57
206.29, 448.33, 574.56
204.44, 447.65, 699.54
